name,ID,HS_Hour,EB_Hour,HS_Day,HS_Month,EB_Month,HS_Year,EB_Year,EB_Hour_eng,EB_Day,EB_Day_eng,EB_Month_eng,EB_Year_eng,Season,Element,kin_tone,kin_seal,kin_number,guide_seal,guide_tone,analogue_seal,analogue_tone,antipode_seal,antipode_tone,occult_seal,occult_tone,tribe,a_tribe,sun,moon,ascendant
"Alberto Mancini",337,N/A,N/A,"yin wood","yin earth","yin fire","yin earth","yin metal",N/A,"yin earth",sheep,snake,rooster,"Early Summer",earth,magnetic,earth,157,earth,magnetic,wind,magnetic,hand,magnetic,seed,cosmic,white,red,"Tau 29 17 07","Can 15 05 10","Leo 25 42 22"
"David Wheaton",338,N/A,N/A,"yang earth","yin earth","yin fire","yin earth","yin metal",N/A,"yang metal",monkey,snake,rooster,"Early Summer",metal,magnetic,dog,170,dog,magnetic,moon,magnetic,sun,magnetic,monkey,cosmic,red,white,"Gem 11 45 43","Cap 09 24 08","Vir 09 11 34"
"Cedric Pioline",339,N/A,N/A,"yin metal","yang metal","yang fire","yin earth","yin metal",N/A,"yin metal",rooster,horse,rooster,"Mid Summer",metal,magnetic,night,183,night,magnetic,warrior,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,blue,"Gem 24 11 42","Can 00 03 56","Vir 23 01 20"
"Malivai Washington",340,N/A,N/A,"yang fire","yang metal","yang fire","yin earth","yin metal",N/A,"yang wood",tiger,horse,rooster,"Mid Summer",neutral,rhythmic,star,188,star,rhythmic,monkey,rhythmic,mirror,rhythmic,skyWalker,galactic,blue,yellow,"Gem 28 58 10","Leo 29 33 07","Vir 28 23 19"
"Bart Wuyts",341,N/A,N/A,"yin water","yin water","yin metal","yin earth","yin metal",N/A,"yin fire",snake,rooster,rooster,"Mid Autumn",metal,lunar,eagle,15,hand,lunar,seed,lunar,snake,lunar,worldBridger,crystal,yellow,blue,"Vir 22 27 53","Sco 06 25 44","Sag 24 44 36"
"Byron Black",342,N/A,N/A,"yang wood","yin water","yin metal","yin earth","yin metal",N/A,"yang wood",tiger,rooster,rooster,"Mid Autumn",metal,planetary,warrior,36,seed,planetary,night,planetary,worldBridger,planetary,snake,selfexisting,blue,yellow,"Lib 13 03 18","Leo 16 11 48","Cap 13 47 05"
"Guillermo Perez Roldan",343,N/A,N/A,"yang earth","yang wood","yang earth","yin earth","yin metal",N/A,"yang earth",dragon,dog,rooster,"Late Autumn",earth,spectral,dog,50,dog,spectral,moon,spectral,sun,spectral,monkey,electric,red,white,"Lib 26 55 29","Aqu 25 04 28","Cap 26 44 13"
"Jan Apell",344,N/A,N/A,"yin water","yang wood","yang earth","yin earth","yin metal",N/A,"yin earth",sheep,dog,rooster,"Late Autumn",earth,cosmic,snake,65,moon,cosmic,wizard,cosmic,eagle,cosmic,warrior,magnetic,white,red,"Sco 11 53 54","Vir 06 04 17","Aqu 11 05 54"
"Franco Davin",345,N/A,N/A,"yin metal","yin fire","yin earth","yin earth","yin metal",N/A,"yin wood",rabbit,ox,rooster,"Late Winter",neutral,electric,skyWalker,133,earth,electric,worldBridger,electric,night,electric,star,spectral,white,red,"Cap 20 51 39","Pis 11 48 27","Ari 22 15 29"
"Guillaume Raoux",346,N/A,N/A,"yin wood","yang earth","yang wood","yang metal","yang earth",N/A,"yin earth",ox,tiger,dog,"Early Spring",earth,spectral,hand,167,hand,spectral,human,spectral,earth,spectral,wizard,electric,yellow,blue,"Aqu 25 23 15","Gem 10 37 44","Tau 26 24 15"
"Alex Obrien",347,N/A,N/A,"yang fire","yin earth","yin wood","yang metal","yang earth",N/A,"yang earth",dog,rabbit,dog,"Mid Spring",earth,rhythmic,star,188,star,rhythmic,monkey,rhythmic,mirror,rhythmic,skyWalker,galactic,blue,yellow,"Pis 16 30 11","Pis 13 12 06","Gem 15 59 43"
"Diego Nargiso",348,N/A,N/A,"yang wood","yin earth","yin wood","yang metal","yang earth",N/A,"yang fire",horse,rabbit,dog,"Mid Spring",neutral,magnetic,warrior,196,warrior,magnetic,night,magnetic,worldBridger,magnetic,snake,cosmic,blue,yellow,"Pis 24 29 30","Can 01 21 37","Gem 23 16 30"
"Frederic Fontang",349,N/A,N/A,"yin fire","yin earth","yin wood","yang metal","yang earth",N/A,"yin metal",rooster,rabbit,dog,"Mid Spring",neutral,selfexisting,storm,199,eagle,selfexisting,sun,selfexisting,moon,selfexisting,wind,planetary,yellow,blue,"Pis 27 28 38","Leo 07 03 09","Gem 25 59 33"
"Magnus Larsson",350,N/A,N/A,"yang wood","yin earth","yin wood","yang metal","yang earth",N/A,"yang earth",dragon,rabbit,dog,"Mid Spring",earth,spectral,worldBridger,206,worldBridger,spectral,skyWalker,spectral,warrior,spectral,eagle,electric,red,white,"Ari 04 25 23","Sco 02 35 34","Can 02 19 25"
"Gabriel Markus",351,N/A,N/A,"yang metal","yin earth","yin wood","yang metal","yang earth",N/A,"yang earth",dog,rabbit,dog,"Mid Spring",earth,selfexisting,human,212,star,selfexisting,hand,selfexisting,wind,selfexisting,moon,planetary,blue,yellow,"Ari 10 21 21","Cap 23 58 55","Can 07 45 29"
"Jason Stoltenberg",352,N/A,N/A,"yang wood","yin earth","yin wood","yang metal","yang earth",N/A,"yang wood",tiger,rabbit,dog,"Mid Spring",wood,galactic,warrior,216,sun,galactic,night,galactic,worldBridger,galactic,snake,rhythmic,blue,yellow,"Ari 14 18 04","Pis 21 49 33","Can 11 23 39"
"Jan Siemerink",353,N/A,N/A,"yang wood","yang metal","yang earth","yang metal","yang earth",N/A,"yang water",rat,dragon,dog,"Late Spring",earth,overtone,worldBridger,226,wizard,overtone,skyWalker,overtone,warrior,overtone,eagle,solar,red,white,"Ari 24 07 30","Leo 03 19 37","Can 20 34 07"
"Richard Fromberg",354,N/A,N/A,"yang earth","yang metal","yang earth","yang metal","yang earth",N/A,"yang wood",tiger,dragon,dog,"Late Spring",earth,rhythmic,sun,240,sun,rhythmic,storm,rhythmic,dog,rhythmic,dragon,galactic,blue,yellow,"Tau 07 46 49","Aqu 04 52 22","Leo 03 43 44"
"Andre Agassi",355,N/A,N/A,"yin earth","yang metal","yang earth","yang metal","yang earth",N/A,"yin wood",rabbit,dragon,dog,"Late Spring",earth,resonant,dragon,241,skyWalker,resonant,mirror,resonant,monkey,resonant,sun,resonant,white,red,"Tau 08 45 07","Aqu 19 00 48","Leo 04 41 13"
"Renzo Furlan",356,N/A,N/A,"yin fire","yin metal","yin fire","yang metal","yang earth",N/A,"yin metal",rooster,snake,dog,"Early Summer",metal,crystal,storm,259,monkey,crystal,sun,crystal,moon,crystal,wind,lunar,yellow,blue,"Tau 26 09 58","Lib 11 22 42","Leo 22 24 51"
"Cristiano Caratti",357,N/A,N/A,"yang wood","yin metal","yin fire","yang metal","yang earth",N/A,"yang earth",dragon,snake,dog,"Early Summer",earth,rhythmic,worldBridger,6,worldBridger,rhythmic,skyWalker,rhythmic,warrior,rhythmic,eagle,galactic,red,white,"Gem 02 53 54","Cap 17 11 29","Leo 29 33 42"
"Jaime Oncins",358,N/A,N/A,"yin fire","yang water","yang fire","yang metal","yang earth",N/A,"yin wood",rabbit,horse,dog,"Mid Summer",fire,electric,moon,29,skyWalker,electric,dog,electric,storm,electric,human,spectral,white,red,"Gem 24 55 22","Sco 15 22 55","Vir 23 50 10"
"Andrei Cherkasov",359,N/A,N/A,"yin wood","yang water","yang fire","yang metal","yang earth",N/A,"yin metal",rooster,horse,dog,"Mid Summer",metal,galactic,hand,47,monkey,galactic,human,galactic,earth,galactic,wizard,rhythmic,yellow,blue,"Can 12 05 32","Can 21 45 38","Lib 13 08 05"
"Todd Martin",360,N/A,N/A,"yin earth","yin water","yin earth","yang metal","yang earth",N/A,"yin earth",ox,sheep,dog,"Late Summer",earth,crystal,monkey,51,night,crystal,star,crystal,dragon,crystal,dog,lunar,yellow,blue,"Can 15 54 25","Vir 09 13 52","Lib 17 23 05"
"Slava Dosedel",361,N/A,N/A,"yang fire","yang wood","yang metal","yang metal","yang earth",N/A,"yang wood",tiger,monkey,dog,"Early Autumn",neutral,planetary,star,88,warrior,planetary,monkey,planetary,mirror,planetary,skyWalker,selfexisting,blue,yellow,"Leo 21 16 49","Cap 14 13 09","Sco 24 51 03"
"Jim Courier",362,N/A,N/A,"yin earth","yang wood","yang metal","yang metal","yang earth",N/A,"yin fire",snake,monkey,dog,"Early Autumn",neutral,cosmic,monkey,91,eagle,cosmic,star,cosmic,dragon,cosmic,dog,magnetic,yellow,blue,"Leo 24 09 44","Aqu 29 21 23","Sco 27 43 15"
"Jacco Eltingh",363,N/A,N/A,"yin metal","yang wood","yang metal","yang metal","yang earth",N/A,"yin fire",snake,monkey,dog,"Early Autumn",metal,crystal,night,103,eagle,crystal,warrior,crystal,skyWalker,crystal,mirror,lunar,yellow,blue,"Vir 05 43 46","Leo 09 33 50","Sag 08 59 09"
"Marc Kevin Goellner",364,N/A,N/A,"yin wood","yin wood","yin metal","yang metal","yang earth",N/A,"yin fire",snake,rooster,dog,"Mid Autumn",metal,planetary,hand,127,eagle,planetary,human,planetary,earth,planetary,wizard,selfexisting,yellow,blue,"Vir 29 03 46","Can 00 10 00","Cap 00 51 30"
"Nicolas Pereira",365,N/A,N/A,"yang water","yin wood","yin metal","yang metal","yang earth",N/A,"yang water",rat,rooster,dog,"Mid Autumn",neutral,selfexisting,wizard,134,dog,selfexisting,snake,selfexisting,seed,selfexisting,hand,planetary,red,white,"Lib 05 55 37","Vir 23 44 27","Cap 07 11 42"
"Marc Rosset",366,N/A,N/A,"yin metal","yang fire","yang earth","yang metal","yang earth",N/A,"yin wood",rabbit,dog,dog,"Late Autumn",earth,selfexisting,skyWalker,173,moon,selfexisting,worldBridger,selfexisting,night,selfexisting,star,planetary,white,red,"Sco 14 40 01","Aqu 27 18 60","Aqu 13 48 26"
"Sergi Bruguera",367,N/A,N/A,"yin metal","yin earth","yin earth","yang metal","yang earth",N/A,"yin earth",ox,ox,dog,"Late Winter",earth,solar,night,243,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,blue,"Cap 25 42 24","Vir 20 13 42","Ari 27 13 44"
"Wayne Arthurs",368,N/A,N/A,"yang water","yin metal","yin wood","yin metal","yin water",N/A,"yang wood",tiger,rabbit,pig,"Mid Spring",wood,overtone,seed,44,human,overtone,eagle,overtone,wizard,overtone,earth,solar,blue,yellow,"Pis 27 14 25","Sag 08 09 56","Gem 25 46 28"
"Todd Woodbridge",369,N/A,N/A,"yin fire","yin metal","yin wood","yin metal","yin water",N/A,"yin fire",snake,rabbit,pig,"Mid Spring",neutral,resonant,storm,59,monkey,resonant,sun,resonant,moon,resonant,wind,resonant,yellow,blue,"Ari 12 06 05","Can 10 16 08","Can 09 21 19"
"Jonathan Stark",370,N/A,N/A,"yang earth","yin metal","yin wood","yin metal","yin water",N/A,"yang fire",horse,rabbit,pig,"Mid Spring",wood,galactic,sun,60,seed,galactic,storm,galactic,dog,galactic,dragon,rhythmic,blue,yellow,"Ari 13 05 15","Can 22 47 37","Can 10 15 53"
"Fernando Meligeni",371,N/A,N/A,"yin fire","yang water","yang earth","yin metal","yin water",N/A,"yin wood",rabbit,dragon,pig,"Late Spring",neutral,selfexisting,moon,69,snake,selfexisting,dog,selfexisting,storm,selfexisting,human,planetary,white,red,"Ari 21 55 59","Sco 10 24 47","Can 18 29 58"
"Nicklas Kulti",372,N/A,N/A,"yin fire","yang water","yang earth","yin metal","yin water",N/A,"yin earth",ox,dragon,pig,"Late Spring",earth,magnetic,storm,79,storm,magnetic,sun,magnetic,moon,magnetic,wind,cosmic,yellow,blue,"Tau 01 42 42","Pis 24 19 37","Can 27 48 27"
"Chuck Adams",373,N/A,N/A,"yang earth","yang water","yang earth","yin metal","yin water",N/A,"yang wood",tiger,dragon,pig,"Late Spring",neutral,lunar,sun,80,human,lunar,storm,lunar,dog,lunar,dragon,crystal,blue,yellow,"Tau 02 41 13","Ari 09 16 35","Can 28 44 60"
"Stefano Pescosolido",374,N/A,N/A,"yin earth","yang wood","yang fire","yin metal","yin water",N/A,"yin fire",snake,horse,pig,"Mid Summer",fire,magnetic,monkey,131,monkey,magnetic,star,magnetic,dragon,magnetic,dog,cosmic,yellow,blue,"Gem 21 49 52","Aqu 18 22 19","Vir 20 21 54"
"Jared Palmer",375,N/A,N/A,"yang earth","yang wood","yang fire","yin metal","yin water",N/A,"yang water",rat,horse,pig,"Mid Summer",water,resonant,dog,150,wind,resonant,moon,resonant,sun,resonant,monkey,resonant,red,white,"Can 09 57 45","Lib 29 06 45","Lib 10 44 36"
"Pete Sampras",376,N/A,N/A,"yin earth","yang fire","yang metal","yin metal","yin water",N/A,"yin fire",snake,monkey,pig,"Early Autumn",neutral,solar,monkey,191,hand,solar,star,solar,dragon,solar,dog,overtone,yellow,blue,"Leo 19 07 40","Tau 06 35 31","Sco 22 41 28"
"Younes El Aynaoui",377,N/A,N/A,"yang metal","yin fire","yin metal","yin metal","yin water",N/A,"yang water",rat,rooster,pig,"Mid Autumn",neutral,magnetic,wind,222,wind,magnetic,earth,magnetic,human,magnetic,storm,cosmic,red,white,"Vir 19 04 09","Gem 28 09 41","Sag 21 35 11"
"Goran Ivanisevic",378,N/A,N/A,"yin metal","yin fire","yin metal","yin metal","yin water",N/A,"yin earth",ox,rooster,pig,"Mid Autumn",metal,lunar,night,223,eagle,lunar,warrior,lunar,skyWalker,lunar,mirror,crystal,yellow,blue,"Vir 20 02 33","Can 11 12 20","Sag 22 29 38"
"Wayne Ferreira",379,N/A,N/A,"yin water","yin fire","yin metal","yin metal","yin water",N/A,"yin wood",rabbit,rooster,pig,"Mid Autumn",neutral,selfexisting,snake,225,dragon,selfexisting,wizard,selfexisting,eagle,selfexisting,warrior,planetary,white,red,"Vir 21 59 27","Leo 06 23 53","Sag 24 18 25"
"Richard Krajicek",380,N/A,N/A,"yin wood","yin earth","yin water","yin metal","yin water",N/A,"yin earth",ox,pig,pig,"Early Winter",water,galactic,hand,47,monkey,galactic,human,galactic,earth,galactic,wizard,rhythmic,yellow,blue,"Sag 13 42 21","Leo 07 29 57","Pis 13 18 42"
"Mauricio Hadad",381,N/A,N/A,"yang fire","yin earth","yin water","yin metal","yin water",N/A,"yang wood",tiger,pig,pig,"Early Winter",neutral,solar,star,48,seed,solar,monkey,solar,mirror,solar,skyWalker,overtone,blue,yellow,"Sag 14 43 16","Leo 20 17 39","Pis 14 22 23"
"Michael Chang",382,N/A,N/A,"yin water","yang water","yang wood","yang water","yang water",N/A,"yin earth",sheep,tiger,rat,"Early Spring",water,galactic,snake,125,moon,galactic,wizard,galactic,eagle,galactic,warrior,rhythmic,white,red,"Pis 02 58 26","Gem 13 00 24","Gem 03 31 23"
"Mikael Tillstrom",383,N/A,N/A,"yin wood","yin water","yin wood","yang water","yang water",N/A,"yin earth",sheep,rabbit,rat,"Mid Spring",water,rhythmic,warrior,136,warrior,rhythmic,night,rhythmic,worldBridger,rhythmic,snake,galactic,blue,yellow,"Pis 15 01 20","Sco 14 20 19","Gem 14 38 19"
"Hernan Gumy",384,N/A,N/A,"yin wood","yin water","yin wood","yang water","yang water",N/A,"yin earth",sheep,rabbit,rat,"Mid Spring",water,rhythmic,warrior,136,warrior,rhythmic,night,rhythmic,worldBridger,rhythmic,snake,galactic,blue,yellow,"Pis 15 01 20","Sco 14 20 19","Gem 14 38 19"
"Filip Dewulf",385,N/A,N/A,"yin wood","yin water","yin wood","yang water","yang water",N/A,"yin fire",snake,rabbit,rat,"Mid Spring",water,electric,worldBridger,146,dog,electric,skyWalker,electric,warrior,electric,eagle,spectral,red,white,"Pis 25 00 39","Pis 25 15 20","Gem 23 44 40"
"Jonas Bjorkman",386,N/A,N/A,"yin water","yin water","yin wood","yang water","yang water",N/A,"yin earth",ox,rabbit,rat,"Mid Spring",water,spectral,wizard,154,wizard,spectral,snake,spectral,seed,spectral,hand,electric,red,white,"Ari 02 57 45","Can 20 22 20","Can 00 59 00"
"Davide Sanguinetti",387,N/A,N/A,"yang earth","yang earth","yang metal","yang water","yang water",N/A,"yang water",rat,monkey,rat,"Early Autumn",water,planetary,moon,49,earth,planetary,dog,planetary,storm,planetary,human,selfexisting,white,red,"Vir 02 22 04","Pis 11 53 25","Sag 05 44 56"
"Emilio Benfele Alvarez",388,N/A,N/A,"yang metal","yin metal","yin water","yang water","yang water",N/A,"yang earth",dog,pig,rat,"Early Winter",water,magnetic,monkey,131,monkey,magnetic,star,magnetic,dragon,magnetic,dog,cosmic,yellow,blue,"Sco 23 13 49","Pis 08 52 43","Aqu 22 18 38"
"Jordi Burillo",389,N/A,N/A,"yang water","yang water","yang water","yang water","yang water",N/A,"yang metal",monkey,rat,rat,"Mid Winter",water,planetary,skyWalker,153,dragon,planetary,worldBridger,planetary,night,planetary,star,selfexisting,white,red,"Sag 15 29 41","Cap 03 25 29","Pis 15 10 44"
"Fabrice Santoro",390,N/A,N/A,"yang wood","yang water","yang water","yang water","yang water",N/A,"yang earth",dog,rat,rat,"Mid Winter",water,crystal,eagle,155,hand,crystal,seed,crystal,snake,crystal,worldBridger,lunar,yellow,blue,"Sag 17 31 39","Cap 27 30 51","Pis 17 18 30"
"Marcos Ondruska",391,N/A,N/A,"yin water","yang water","yang water","yang water","yang water",N/A,"yin earth",sheep,rat,rat,"Mid Winter",water,galactic,seed,164,star,galactic,eagle,galactic,wizard,galactic,earth,rhythmic,blue,yellow,"Sag 26 40 56","Tau 29 44 43","Pis 26 56 43"
"Patrick Rafter",392,N/A,N/A,"yin water","yang water","yang water","yang water","yang water",N/A,"yin fire",snake,rat,rat,"Mid Winter",water,overtone,wizard,174,wind,overtone,snake,overtone,seed,overtone,hand,solar,red,white,"Cap 06 52 03","Lib 18 51 30","Ari 07 40 52"
"Chris Woodruff",393,N/A,N/A,"yang earth","yang water","yang water","yang water","yang water",N/A,"yang earth",dog,rat,rat,"Mid Winter",water,planetary,storm,179,hand,planetary,sun,planetary,moon,planetary,wind,selfexisting,yellow,blue,"Cap 11 57 55","Sag 18 19 16","Ari 13 01 29"
"Antony Dupuis",394,N/A,N/A,"yin metal","yang wood","yang wood","yin water","yin earth",N/A,"yin wood",rabbit,tiger,ox,"Early Spring",wood,spectral,human,232,human,spectral,hand,spectral,wind,spectral,moon,electric,blue,yellow,"Pis 05 44 50","Sco 28 53 37","Gem 06 06 08"
"David Prinosil",395,N/A,N/A,"yang wood","yin wood","yin wood","yin water","yin earth",N/A,"yang earth",dragon,rabbit,ox,"Mid Spring",neutral,spectral,snake,245,snake,spectral,wizard,spectral,eagle,spectral,warrior,electric,white,red,"Pis 18 47 07","Tau 17 15 50","Gem 18 04 23"
"Lionel Roux",396,N/A,N/A,"yang earth","yang fire","yang earth","yin water","yin earth",N/A,"yang wood",tiger,dragon,ox,"Late Spring",earth,rhythmic,storm,19,storm,rhythmic,sun,rhythmic,moon,rhythmic,wind,galactic,yellow,blue,"Ari 22 26 30","Leo 21 46 38","Can 18 58 36"
"Kenneth Carlsen",397,N/A,N/A,"yin water","yang fire","yang earth","yin water","yin earth",N/A,"yin earth",sheep,dragon,ox,"Late Spring",earth,spectral,seed,24,seed,spectral,eagle,spectral,wizard,spectral,earth,electric,blue,yellow,"Ari 27 20 05","Lib 26 27 18","Can 23 36 37"
"Karim Alami",398,N/A,N/A,"yang metal","yin fire","yin fire","yin water","yin earth",N/A,"yang metal",monkey,snake,ox,"Early Summer",neutral,solar,dragon,61,earth,solar,mirror,solar,monkey,solar,sun,overtone,white,red,"Gem 03 10 04","Aqu 23 10 55","Leo 29 50 48"
"Sargis Sargsian",399,N/A,N/A,"yang metal","yin fire","yin fire","yin water","yin earth",N/A,"yang fire",horse,snake,ox,"Early Summer",fire,rhythmic,monkey,71,monkey,rhythmic,star,rhythmic,dragon,rhythmic,dog,galactic,yellow,blue,"Gem 12 45 40","Can 15 24 23","Vir 10 17 04"
"Alex Calatrava",400,N/A,N/A,"yin metal","yang earth","yang fire","yin water","yin earth",N/A,"yin fire",snake,horse,ox,"Mid Summer",fire,selfexisting,wind,82,mirror,selfexisting,earth,selfexisting,human,selfexisting,storm,planetary,red,white,"Gem 23 16 47","Sag 08 32 35","Vir 21 59 19"
"Leander Paes",401,N/A,N/A,"yang wood","yang earth","yang fire","yin water","yin earth",N/A,"yang metal",monkey,horse,ox,"Mid Summer",earth,resonant,snake,85,earth,resonant,wizard,resonant,eagle,resonant,warrior,resonant,white,red,"Gem 26 08 36","Cap 13 58 46","Vir 25 12 19"
"Alberto Berasategui",402,N/A,N/A,"yin wood","yang earth","yang fire","yin water","yin earth",N/A,"yin earth",sheep,horse,ox,"Mid Summer",earth,overtone,warrior,96,seed,overtone,night,overtone,worldBridger,overtone,snake,solar,blue,yellow,"Can 06 38 14","Gem 08 31 21","Lib 07 00 56"
"Andrea Gaudenzi",403,N/A,N/A,"yin fire","yin earth","yin earth","yin water","yin earth",N/A,"yin wood",rabbit,sheep,ox,"Late Summer",earth,spectral,star,128,star,spectral,monkey,spectral,mirror,spectral,skyWalker,electric,blue,yellow,"Leo 07 10 19","Leo 16 56 44","Sco 10 23 58"
"Greg Rusedski",404,N/A,N/A,"yin wood","yang metal","yang metal","yin water","yin earth",N/A,"yin fire",snake,monkey,ox,"Early Autumn",metal,planetary,worldBridger,166,wizard,planetary,skyWalker,planetary,warrior,planetary,eagle,selfexisting,red,white,"Vir 13 44 49","Cap 03 55 37","Sag 16 35 38"
"Jerome Golmard",405,N/A,N/A,"yang earth","yin metal","yin metal","yin water","yin earth",N/A,"yang metal",monkey,rooster,ox,"Mid Autumn",metal,cosmic,moon,169,skyWalker,cosmic,dog,cosmic,storm,cosmic,human,magnetic,white,red,"Vir 16 39 34","Aqu 09 53 23","Sag 19 19 45"
"Hicham Arazi",406,N/A,N/A,"yang earth","yang water","yang earth","yin water","yin earth",N/A,"yang water",rat,dog,ox,"Late Autumn",earth,magnetic,moon,209,moon,magnetic,dog,magnetic,storm,magnetic,human,cosmic,white,red,"Lib 25 57 27","Leo 03 15 36","Cap 25 49 57"
"Albert Portas",407,N/A,N/A,"yin wood","yin water","yin water","yin water","yin earth",N/A,"yin wood",rabbit,pig,ox,"Early Winter",neutral,lunar,warrior,236,star,lunar,night,lunar,worldBridger,lunar,snake,crystal,blue,yellow,"Sco 22 58 56","Can 29 48 16","Aqu 22 03 59"
"Andrei Pavel",408,N/A,N/A,"yang earth","yin wood","yin earth","yin water","yin earth",N/A,"yang earth",dragon,ox,ox,"Late Winter",earth,planetary,moon,49,earth,planetary,dog,planetary,storm,planetary,human,selfexisting,white,red,"Aqu 07 10 28","Pis 21 56 09","Tau 08 46 10"
"Yevgeny Kafelnikov",409,N/A,N/A,"yang metal","yang fire","yang wood","yang wood","yang wood",N/A,"yang wood",tiger,tiger,tiger,"Early Spring",wood,rhythmic,monkey,71,monkey,rhythmic,star,rhythmic,dragon,rhythmic,dog,galactic,yellow,blue,"Aqu 29 27 16","Cap 18 30 29","Gem 00 14 28"
"Karol Kucera",410,N/A,N/A,"yang wood","yang fire","yang wood","yang wood","yang wood",N/A,"yang earth",dragon,tiger,tiger,"Early Spring",wood,resonant,snake,85,earth,resonant,wizard,resonant,eagle,resonant,warrior,resonant,white,red,"Pis 13 32 04","Can 19 45 53","Gem 13 16 40"
"Thomas Enqvist",411,N/A,N/A,"yin water","yin fire","yin wood","yang wood","yang wood",N/A,"yin earth",ox,rabbit,tiger,"Mid Spring",wood,electric,wizard,94,mirror,electric,snake,electric,seed,electric,hand,spectral,red,white,"Pis 22 31 47","Sco 26 41 53","Gem 21 29 29"
"Julien Boutter",412,N/A,N/A,"yang fire","yang earth","yang earth","yang wood","yang wood",N/A,"yang water",rat,dragon,tiger,"Late Spring",neutral,cosmic,earth,117,dragon,cosmic,wind,cosmic,hand,cosmic,seed,magnetic,white,red,"Ari 15 19 29","Vir 27 25 21","Can 12 20 13"
"Alex Corretja",413,N/A,N/A,"yang water","yang earth","yang earth","yang wood","yang wood",N/A,"yang fire",horse,dragon,tiger,"Late Spring",neutral,rhythmic,night,123,night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,blue,"Ari 21 13 10","Sag 16 53 35","Can 17 49 57"
"Scott Draper",414,N/A,N/A,"yin fire","yin earth","yin fire","yang wood","yang wood",N/A,"yin earth",ox,snake,tiger,"Early Summer",neutral,solar,mirror,178,wizard,solar,dragon,solar,star,solar,night,overtone,red,white,"Gem 14 26 51","Sag 20 58 33","Vir 12 08 31"
"Vincent Spadea",415,N/A,N/A,"yin metal","yin metal","yin earth","yang wood","yang wood",N/A,"yin metal",rooster,sheep,tiger,"Late Summer",metal,magnetic,wind,222,wind,magnetic,earth,magnetic,human,magnetic,storm,cosmic,red,white,"Can 26 26 20","Can 26 22 28","Lib 28 56 35"
"Adrian Voinea",416,N/A,N/A,"yin earth","yin metal","yin earth","yang wood","yang wood",N/A,"yin wood",rabbit,sheep,tiger,"Late Summer",wood,rhythmic,sun,240,sun,rhythmic,storm,rhythmic,dog,rhythmic,dragon,galactic,blue,yellow,"Leo 13 38 41","Pis 20 16 09","Sco 17 06 33"
"Andrei Medvedev",417,N/A,N/A,"yang wood","yang water","yang metal","yang wood","yang wood",N/A,"yang earth",dragon,monkey,tiger,"Early Autumn",wood,overtone,snake,5,skyWalker,overtone,wizard,overtone,eagle,overtone,warrior,solar,white,red,"Vir 07 42 15","Aqu 23 17 22","Sag 10 51 54"
"Tim Henman",418,N/A,N/A,"yang metal","yang water","yang metal","yang wood","yang wood",N/A,"yang earth",dog,monkey,tiger,"Early Autumn",neutral,spectral,monkey,11,monkey,spectral,star,spectral,dragon,spectral,dog,electric,yellow,blue,"Vir 13 30 51","Tau 06 58 07","Sag 16 22 21"
"Felix Mantilla",419,N/A,N/A,"yin fire","yin water","yin metal","yang wood","yang wood",N/A,"yin wood",rabbit,rooster,tiger,"Mid Autumn",wood,lunar,star,28,sun,lunar,monkey,lunar,mirror,lunar,skyWalker,crystal,blue,yellow,"Lib 00 04 58","Cap 02 20 36","Cap 01 47 34"
"Jan Kroslak",420,N/A,N/A,"yin metal","yang wood","yang earth","yang wood","yang wood",N/A,"yin wood",rabbit,dog,tiger,"Late Autumn",wood,cosmic,human,52,warrior,cosmic,hand,cosmic,wind,cosmic,moon,magnetic,blue,yellow,"Lib 23 44 12","Sco 19 18 09","Cap 23 44 16"
"Alex Radulescu",421,N/A,N/A,"yang water","yang fire","yang water","yang wood","yang wood",N/A,"yang fire",horse,rat,tiger,"Mid Winter",neutral,crystal,night,103,eagle,crystal,warrior,crystal,skyWalker,crystal,mirror,lunar,yellow,blue,"Sag 14 59 48","Vir 29 00 34","Pis 14 39 52"
"Hendrik Dreekmann",422,N/A,N/A,"yin wood","yin fire","yin earth","yang wood","yang wood",N/A,"yin water",pig,ox,tiger,"Late Winter",wood,cosmic,warrior,156,sun,cosmic,night,cosmic,worldBridger,cosmic,snake,magnetic,blue,yellow,"Aqu 08 57 15","Vir 05 33 38","Tau 10 32 09"
"Neville Godwin",423,N/A,N/A,"yin fire","yin fire","yin earth","yang wood","yang wood",N/A,"yin earth",ox,ox,tiger,"Late Winter",earth,lunar,mirror,158,dog,lunar,dragon,lunar,star,lunar,night,crystal,red,white,"Aqu 10 59 04","Lib 05 20 26","Tau 12 32 06"
"Bohdan Ulihrach",424,N/A,N/A,"yang metal","yang earth","yang wood","yin wood","yin wood",N/A,"yang water",rat,tiger,rabbit,"Early Spring",wood,crystal,dragon,181,skyWalker,crystal,mirror,crystal,monkey,crystal,sun,lunar,white,red,"Pis 04 14 48","Can 28 00 26","Gem 04 42 57"
